UserID,ItemID,realRate,guessRate,RMSE
1,1,5,NaN,NaN
1,2,3,NaN,NaN
1,3,4,NaN,NaN
1,4,3,NaN,NaN
1,5,3,NaN,NaN
1,6,5,NaN,NaN
1,7,4,NaN,NaN
1,8,1,NaN,NaN
1,9,5,NaN,NaN
1,10,3,NaN,NaN
1,11,2,NaN,NaN
1,12,5,NaN,NaN
1,13,5,NaN,NaN
1,14,5,NaN,NaN
1,15,5,NaN,NaN
1,16,5,NaN,NaN
1,17,3,NaN,NaN
1,18,4,NaN,NaN
1,19,5,NaN,NaN
1,20,4,NaN,NaN
1,21,1,NaN,NaN
1,22,4,NaN,NaN
1,23,4,NaN,NaN
1,24,3,NaN,NaN
1,25,4,NaN,NaN
1,26,3,NaN,NaN
1,27,2,NaN,NaN
1,28,4,NaN,NaN
1,29,1,NaN,NaN
1,30,3,NaN,NaN
1,31,3,NaN,NaN
1,32,5,NaN,NaN
1,33,4,NaN,NaN
1,34,2,NaN,NaN
1,35,1,NaN,NaN
1,36,2,NaN,NaN
1,37,2,NaN,NaN
1,38,3,NaN,NaN
1,39,4,NaN,NaN
1,40,3,NaN,NaN
1,41,2,NaN,NaN
1,42,5,NaN,NaN
1,43,4,NaN,NaN
1,44,5,NaN,NaN
1,45,5,NaN,NaN
1,46,4,NaN,NaN
1,47,4,NaN,NaN
1,48,5,NaN,NaN
1,49,3,NaN,NaN
1,50,5,NaN,NaN
1,51,4,NaN,NaN
1,52,4,NaN,NaN
1,53,3,NaN,NaN
1,54,3,NaN,NaN
1,55,5,NaN,NaN
1,56,4,NaN,NaN
1,57,5,NaN,NaN
1,58,4,NaN,NaN
1,59,5,NaN,NaN
1,60,5,NaN,NaN
1,61,4,NaN,NaN
1,62,3,NaN,NaN
1,63,2,NaN,NaN
1,64,5,NaN,NaN
1,65,4,NaN,NaN
1,66,4,NaN,NaN
1,67,3,NaN,NaN
1,68,4,NaN,NaN
1,69,3,NaN,NaN
1,70,3,NaN,NaN
1,71,3,NaN,NaN
1,72,4,NaN,NaN
1,73,3,NaN,NaN
1,74,1,NaN,NaN
1,75,4,NaN,NaN
1,76,4,NaN,NaN
1,77,4,NaN,NaN
1,78,1,NaN,NaN
1,79,4,NaN,NaN
1,80,4,NaN,NaN
1,81,5,NaN,NaN
1,82,5,NaN,NaN
1,83,3,NaN,NaN
1,84,4,NaN,NaN
1,85,3,NaN,NaN
1,86,5,NaN,NaN
1,87,5,NaN,NaN
1,88,4,NaN,NaN
1,89,5,NaN,NaN
1,90,4,NaN,NaN
1,91,5,NaN,NaN
1,92,3,NaN,NaN
1,93,5,NaN,NaN
1,94,2,NaN,NaN
1,95,4,NaN,NaN
1,96,5,NaN,NaN
1,97,3,NaN,NaN
1,98,4,NaN,NaN
1,99,3,NaN,NaN
1,100,5,NaN,NaN
1,101,2,NaN,NaN
1,102,2,NaN,NaN
1,103,1,NaN,NaN
1,104,1,NaN,NaN
1,105,2,NaN,NaN
1,106,4,NaN,NaN
1,107,4,NaN,NaN
1,108,5,NaN,NaN
1,109,5,NaN,NaN
1,110,1,NaN,NaN
1,111,5,NaN,NaN
1,112,1,NaN,NaN
1,113,5,NaN,NaN
1,114,5,NaN,NaN
1,115,5,NaN,NaN
1,116,3,NaN,NaN
1,117,3,NaN,NaN
1,118,3,NaN,NaN
1,119,5,NaN,NaN
1,120,1,NaN,NaN
1,121,4,NaN,NaN
1,122,3,NaN,NaN
1,123,4,NaN,NaN
1,124,5,NaN,NaN
1,125,3,NaN,NaN
1,126,2,NaN,NaN
1,127,5,NaN,NaN
1,128,4,NaN,NaN
1,129,5,NaN,NaN
1,130,3,NaN,NaN
1,131,1,NaN,NaN
1,132,4,NaN,NaN
1,133,4,NaN,NaN
1,134,4,NaN,NaN
1,135,4,NaN,NaN
1,136,3,NaN,NaN
1,137,5,NaN,NaN
1,138,1,NaN,NaN
1,139,3,NaN,NaN
1,140,1,NaN,NaN
1,141,3,NaN,NaN
1,142,2,NaN,NaN
1,143,1,NaN,NaN
1,144,4,NaN,NaN
1,145,2,NaN,NaN
1,146,4,NaN,NaN
1,147,3,NaN,NaN
1,148,2,NaN,NaN
1,149,2,NaN,NaN
1,150,5,NaN,NaN
1,151,4,NaN,NaN
1,152,5,NaN,NaN
1,153,3,NaN,NaN
1,154,5,NaN,NaN
1,155,2,NaN,NaN
1,156,4,NaN,NaN
1,157,4,NaN,NaN
1,158,3,NaN,NaN
1,159,3,NaN,NaN
1,160,4,NaN,NaN
1,161,4,NaN,NaN
1,162,4,NaN,NaN
1,163,4,NaN,NaN
1,164,3,NaN,NaN
1,165,5,NaN,NaN
1,166,5,NaN,NaN
1,167,2,NaN,NaN
1,168,5,NaN,NaN
1,169,5,NaN,NaN
1,170,5,NaN,NaN
1,171,5,NaN,NaN
1,172,5,NaN,NaN
1,173,5,NaN,NaN
1,174,5,NaN,NaN
1,175,5,NaN,NaN
1,176,5,NaN,NaN
1,177,5,NaN,NaN
1,178,5,NaN,NaN
1,179,3,NaN,NaN
1,180,3,NaN,NaN
1,181,5,NaN,NaN
1,182,4,NaN,NaN
1,183,5,NaN,NaN
1,184,4,NaN,NaN
1,185,4,NaN,NaN
1,186,4,NaN,NaN
1,187,4,NaN,NaN
1,188,3,NaN,NaN
1,189,3,NaN,NaN
1,190,5,NaN,NaN
1,191,5,NaN,NaN
1,192,4,NaN,NaN
1,193,4,NaN,NaN
1,194,4,NaN,NaN
1,195,5,NaN,NaN
1,196,5,NaN,NaN
1,197,5,NaN,NaN
1,198,5,NaN,NaN
1,199,4,NaN,NaN
1,200,3,NaN,NaN
1,201,3,NaN,NaN
1,202,5,NaN,NaN
1,203,4,NaN,NaN
1,204,5,NaN,NaN
1,205,3,NaN,NaN
1,206,4,NaN,NaN
1,207,5,NaN,NaN
1,208,5,NaN,NaN
